iter	Passed	Remaining
0	563	563121
1	571	285239
2	575	191226
3	578	144158
4	583	116129
5	589	97684
6	593	84260
7	603	74831
8	606	66810
9	612	60635
10	617	55479
11	625	51473
12	821	62344
13	832	58616
14	846	55574
15	850	52305
16	858	49640
17	862	47065
18	865	44706
19	899	44055
20	905	42196
21	910	40463
22	915	38883
23	920	37421
24	924	36042
25	927	34739
26	934	33691
27	938	32577
28	945	31673
29	951	30763
30	966	30220
31	979	29637
32	982	28802
33	986	28036
34	990	27305
35	995	26652
36	998	26000
37	1002	25378
38	1006	24795
39	1009	24227
40	1021	23893
41	1025	23395
42	1028	22899
43	1032	22427
44	1035	21977
45	1040	21577
46	1043	21162
47	1046	20762
48	1049	20376
49	1053	20015
50	1057	19677
51	1073	19572
52	1080	19311
53	1086	19039
54	1091	18752
55	1096	18487
56	1147	18985
57	1151	18700
58	1155	18425
59	1160	18186
60	1168	17979
61	1171	17725
62	1177	17509
63	1180	17262
64	1220	17558
65	1233	17453
66	1241	17291
67	1243	17041
68	1250	16873
69	1258	16718
70	1272	16652
71	1286	16587
72	1327	16854
73	1340	16770
74	1344	16584
75	1351	16426
76	1356	16254
77	1361	16089
78	1367	15942
79	1380	15873
80	1384	15712
81	1397	15642
82	1409	15573
83	1416	15449
84	1420	15292
85	1507	16019
86	1521	15964
87	1526	15818
88	1530	15668
89	1538	15551
90	1541	15398
91	1608	15877
92	1616	15765
93	1646	15868
94	1653	15752
95	1658	15612
96	1675	15596
97	1688	15542
98	1694	15426
99	1764	15884
100	1780	15852
101	1800	15848
102	1827	15913
103	1831	15776
104	1839	15677
105	1845	15564
106	1849	15434
107	1853	15308
108	1857	15182
109	1868	15118
110	1874	15010
111	1881	14920
112	1885	14797
113	1889	14683
114	1892	14563
115	1895	14443
116	1898	14325
117	1905	14242
118	1907	14125
119	1912	14028
120	1923	13972
121	1930	13892
122	1932	13779
123	1939	13704
124	1944	13611
125	1950	13529
126	1954	13436
127	1956	13328
128	1965	13272
129	1973	13204
130	1982	13149
131	1988	13072
132	1995	13011
133	1999	12923
134	2010	12882
135	2015	12805
136	2021	12730
137	2025	12650
138	2029	12568
139	2034	12497
140	2043	12452
141	2047	12371
142	2051	12293
143	2056	12227
144	2060	12152
145	2064	12078
146	2068	12005
147	2074	11940
148	2083	11901
149	2090	11845
150	2095	11782
151	2103	11732
152	2106	11659
153	2109	11587
154	2112	11514
155	2115	11447
156	2122	11394
157	2125	11329
158	2128	11257
159	2134	11205
160	2137	11141
161	2140	11074
162	2143	11008
163	2147	10945
164	2151	10889
165	2154	10825
166	2158	10764
167	2160	10699
168	2166	10652
169	2170	10596
170	2173	10536
171	2177	10484
172	2182	10433
173	2200	10445
174	2203	10389
175	2211	10354
176	2216	10305
177	2219	10249
178	2222	10194
179	2226	10143
180	2227	10080
181	2230	10027
182	2234	9976
183	2237	9922
184	2241	9876
185	2244	9823
186	2247	9773
187	2250	9719
188	2252	9665
189	2255	9616
190	2259	9569
191	2264	9529
192	2268	9487
193	2275	9452
194	2277	9403
195	2280	9355
196	2288	9326
197	2292	9283
198	2302	9269
199	2306	9225
200	2309	9181
201	2312	9133
202	2314	9086
203	2317	9040
204	2321	9003
205	2324	8959
206	2326	8914
207	2330	8874
208	2333	8830
209	2335	8786
210	2339	8747
211	2341	8703
212	2343	8660
213	2346	8617
214	2348	8575
215	2351	8533
216	2353	8491
217	2356	8452
218	2358	8411
219	2361	8371
220	2363	8331
221	2366	8293
222	2369	8254
223	2371	8215
224	2373	8176
225	2376	8138
226	2378	8100
227	2381	8065
228	2384	8027
229	2386	7990
230	2389	7955
231	2392	7921
232	2395	7884
233	2397	7848
234	2400	7812
235	2402	7776
236	2405	7745
237	2409	7712
238	2412	7680
239	2414	7647
240	2419	7620
241	2423	7590
242	2426	7558
243	2429	7527
244	2433	7497
245	2438	7472
246	2441	7441
247	2444	7411
248	2447	7381
249	2450	7351
250	2452	7319
251	2455	7287
252	2457	7256
253	2460	7226
254	2462	7195
255	2465	7164
256	2467	7133
257	2469	7102
258	2471	7071
259	2474	7041
260	2476	7011
261	2479	6984
262	2481	6954
263	2484	6925
264	2486	6896
265	2489	6868
266	2492	6841
267	2495	6814
268	2497	6788
269	2500	6761
270	2503	6735
271	2506	6709
272	2511	6686
273	2514	6662
274	2517	6637
275	2523	6619
276	2529	6601
277	2532	6576
278	2540	6564
279	2543	6540
280	2547	6518
281	2551	6495
282	2556	6477
283	2560	6454
284	2565	6435
285	2568	6411
286	2573	6393
287	2576	6370
288	2581	6352
289	2587	6334
290	2591	6315
291	2594	6291
292	2597	6268
293	2601	6246
294	2604	6223
295	2606	6199
296	2608	6175
297	2611	6151
298	2615	6132
299	2617	6108
300	2620	6085
301	2622	6062
302	2630	6051
303	2635	6034
304	2638	6012
305	2642	5994
306	2648	5979
307	2656	5968
308	2662	5953
309	2665	5933
310	2668	5912
311	2672	5892
312	2675	5872
313	2678	5852
314	2681	5831
315	2685	5813
316	2689	5793
317	2692	5773
318	2695	5753
319	2697	5733
320	2701	5715
321	2705	5696
322	2709	5678
323	2711	5657
324	2714	5638
325	2717	5619
326	2720	5598
327	2722	5578
328	2726	5561
329	2729	5542
330	2733	5524
331	2736	5506
332	2743	5495
333	2748	5481
334	2754	5468
335	2759	5453
336	2766	5442
337	2772	5430
338	2775	5411
339	2778	5393
340	2781	5375
341	2784	5356
342	2787	5339
343	2790	5320
344	2793	5303
345	2795	5284
346	2797	5265
347	2801	5248
348	2804	5230
349	2807	5213
350	2811	5197
351	2813	5180
352	2816	5161
353	2818	5143
354	2822	5127
355	2826	5112
356	2829	5096
357	2832	5079
358	2835	5063
359	2844	5056
360	2851	5047
361	2871	5060
362	2874	5045
363	2877	5028
364	2880	5011
365	2883	4995
366	2887	4979
367	2892	4967
368	2895	4951
369	2899	4937
370	2903	4923
371	2906	4906
372	2909	4890
373	2911	4873
374	2915	4859
375	2918	4844
376	2924	4832
377	2929	4820
378	2933	4806
379	2937	4792
380	2941	4778
381	2944	4762
382	2948	4750
383	2952	4736
384	2956	4722
385	2959	4707
386	2963	4694
387	2967	4680
388	2971	4667
389	2977	4657
390	2980	4641
391	2983	4627
392	2987	4614
393	3002	4618
394	3008	4608
395	3014	4597
396	3018	4584
397	3022	4570
398	3025	4556
399	3027	4541
400	3030	4526
401	3032	4511
402	3038	4500
403	3040	4485
404	3043	4471
405	3047	4457
406	3049	4443
407	3052	4428
408	3055	4414
409	3057	4400
410	3060	4385
411	3062	4371
412	3066	4357
413	3068	4343
414	3071	4329
415	3074	4315
416	3076	4301
417	3079	4287
418	3082	4274
419	3086	4262
420	3089	4248
421	3091	4234
422	3095	4222
423	3098	4208
424	3100	4194
425	3103	4181
426	3105	4167
427	3108	4153
428	3111	4141
429	3114	4128
430	3117	4115
431	3119	4102
432	3122	4089
433	3126	4076
434	3128	4063
435	3131	4050
436	3135	4039
437	3138	4026
438	3141	4014
439	3145	4003
440	3147	3990
441	3151	3978
442	3154	3965
443	3156	3953
444	3159	3940
445	3162	3927
446	3164	3915
447	3167	3903
448	3171	3892
449	3174	3879
450	3177	3867
451	3179	3854
452	3182	3842
453	3185	3830
454	3188	3819
455	3191	3807
456	3193	3794
457	3196	3782
458	3200	3771
459	3202	3759
460	3204	3747
461	3207	3735
462	3210	3723
463	3213	3712
464	3216	3700
465	3218	3688
466	3221	3676
467	3224	3665
468	3226	3653
469	3229	3641
470	3232	3630
471	3234	3618
472	3237	3607
473	3240	3595
474	3243	3584
475	3245	3573
476	3248	3561
477	3250	3549
478	3253	3538
479	3256	3527
480	3258	3516
481	3261	3504
482	3263	3493
483	3266	3482
484	3268	3470
485	3271	3459
486	3273	3448
487	3275	3437
488	3279	3426
489	3281	3415
490	3284	3405
491	3288	3395
492	3291	3384
493	3293	3373
494	3296	3362
495	3298	3352
496	3301	3341
497	3304	3331
498	3307	3320
499	3309	3309
500	3312	3298
501	3314	3288
502	3317	3278
503	3320	3267
504	3322	3256
505	3324	3246
506	3328	3236
507	3331	3226
508	3333	3215
509	3336	3205
510	3338	3194
511	3341	3184
512	3345	3175
513	3347	3165
514	3350	3155
515	3353	3145
516	3355	3135
517	3358	3124
518	3360	3114
519	3363	3104
520	3367	3095
521	3371	3087
522	3375	3078
523	3377	3068
524	3380	3058
525	3386	3051
526	3391	3043
527	3394	3034
528	3399	3026
529	3401	3016
530	3404	3007
531	3407	2997
532	3410	2988
533	3413	2978
534	3416	2969
535	3419	2960
536	3421	2950
537	3424	2940
538	3426	2931
539	3429	2921
540	3432	2912
541	3434	2902
542	3436	2892
543	3439	2882
544	3441	2873
545	3444	2864
546	3447	2854
547	3449	2845
548	3452	2836
549	3456	2827
550	3458	2818
551	3461	2809
552	3463	2799
553	3466	2790
554	3469	2781
555	3471	2772
556	3474	2763
557	3476	2754
558	3479	2745
559	3482	2736
560	3485	2727
561	3487	2718
562	3490	2709
563	3493	2700
564	3495	2691
565	3497	2682
566	3500	2673
567	3503	2664
568	3505	2655
569	3508	2646
570	3511	2638
571	3513	2629
572	3516	2620
573	3518	2611
574	3521	2603
575	3524	2594
576	3526	2585
577	3529	2576
578	3532	2568
579	3534	2559
580	3536	2550
581	3539	2541
582	3541	2533
583	3544	2524
584	3546	2516
585	3549	2507
586	3551	2498
587	3554	2490
588	3556	2481
589	3559	2473
590	3561	2465
591	3565	2457
592	3567	2448
593	3570	2440
594	3572	2431
595	3575	2423
596	3577	2414
597	3579	2406
598	3582	2398
599	3584	2389
600	3586	2381
601	3589	2373
602	3592	2364
603	3594	2356
604	3596	2348
605	3599	2340
606	3601	2331
607	3604	2323
608	3606	2315
609	3608	2307
610	3611	2299
611	3613	2290
612	3616	2283
