iter	Passed	Remaining
0	151	151029
1	153	76570
2	156	52009
3	159	39607
4	161	32151
5	164	27208
6	166	23663
7	175	21766
8	177	19560
9	179	17785
10	181	16342
11	185	15257
12	187	14254
13	190	13384
14	192	12619
15	194	11945
16	198	11461
17	200	10927
18	202	10449
19	204	10012
20	206	9629
21	208	9286
22	212	9038
23	215	8754
24	222	8661
25	225	8437
26	229	8272
27	232	8074
28	235	7875
29	237	7683
30	240	7507
31	245	7421
32	247	7256
33	250	7103
34	252	6960
35	255	6838
36	257	6711
37	259	6577
38	261	6454
39	264	6337
40	267	6249
41	269	6155
42	272	6069
43	274	5967
44	276	5870
45	278	5783
46	282	5727
47	284	5648
48	287	5579
49	289	5501
50	291	5426
51	294	5371
52	296	5306
53	299	5243
54	301	5181
55	305	5154
56	309	5113
57	311	5058
58	313	5004
59	316	4951
60	318	4906
61	321	4859
62	324	4819
63	326	4769
64	328	4723
65	330	4677
66	332	4635
67	335	4593
68	338	4565
69	340	4523
70	342	4481
71	344	4445
72	347	4409
73	349	4372
74	353	4360
75	355	4326
76	369	4431
77	389	4600
78	394	4595
79	403	4643
80	411	4667
81	416	4659
82	418	4624
83	421	4601
84	424	4570
85	427	4542
86	433	4551
87	450	4664
88	453	4637
89	456	4612
90	458	4582
91	462	4565
92	465	4543
93	468	4515
94	472	4504
95	480	4526
96	484	4507
97	488	4498
98	494	4498
99	496	4468
100	498	4441
101	503	4433
102	508	4426
103	516	4447
104	524	4467
105	527	4449
106	530	4428
107	532	4400
108	542	4431
109	544	4408
110	547	4386
111	550	4366
112	555	4363
113	559	4352
114	564	4340
115	569	4342
116	571	4312
117	573	4288
118	576	4264
119	578	4240
120	580	4219
121	582	4193
122	584	4170
123	586	4146
124	589	4124
125	591	4101
126	593	4077
127	597	4068
128	599	4045
129	601	4023
130	603	4001
131	605	3981
132	608	3964
133	613	3963
134	615	3945
135	617	3925
136	620	3907
137	622	3887
138	625	3877
139	628	3860
140	670	4083
141	672	4061
142	677	4059
143	680	4043
144	682	4027
145	685	4011
146	690	4007
147	693	3992
148	696	3978
149	699	3962
150	702	3947
151	705	3936
152	708	3922
153	711	3907
154	717	3912
155	720	3899
156	724	3887
157	727	3874
158	732	3875
159	735	3862
160	739	3854
161	742	3842
162	749	3846
163	751	3832
164	754	3819
165	757	3806
166	762	3804
167	765	3792
168	768	3779
169	771	3767
170	788	3821
171	795	3828
172	799	3823
173	802	3810
174	805	3796
175	820	3840
176	826	3841
177	829	3830
178	832	3818
179	835	3807
180	840	3801
181	843	3790
182	845	3774
183	847	3760
184	850	3746
185	853	3734
186	856	3722
187	858	3708
188	862	3700
189	864	3686
190	868	3679
191	871	3667
192	873	3652
193	875	3637
194	877	3621
195	878	3605
196	880	3588
197	882	3576
198	885	3563
199	886	3547
200	888	3532
201	890	3517
202	892	3502
203	893	3488
204	895	3473
205	897	3460
206	899	3447
207	901	3433
208	903	3419
209	905	3405
210	906	3391
211	908	3377
212	910	3363
213	912	3352
214	914	3339
215	916	3326
216	918	3312
217	919	3299
218	921	3285
219	923	3272
220	924	3260
221	927	3250
222	929	3239
223	932	3228
224	934	3218
225	936	3206
226	938	3194
227	939	3182
228	942	3173
229	945	3164
230	947	3154
231	949	3144
232	951	3131
233	953	3119
234	955	3109
235	957	3100
236	959	3088
237	961	3076
238	962	3064
239	964	3052
240	965	3041
241	967	3030
242	969	3020
243	972	3011
244	973	3001
245	975	2990
246	977	2979
247	978	2967
248	980	2956
249	981	2945
250	984	2936
251	986	2928
252	988	2917
253	989	2907
254	991	2897
255	993	2886
256	994	2875
257	996	2864
258	997	2854
259	1000	2847
260	1002	2838
261	1004	2828
262	1005	2818
263	1007	2809
264	1009	2799
265	1010	2789
266	1012	2780
267	1015	2772
268	1017	2764
269	1018	2754
270	1020	2744
271	1022	2735
272	1023	2726
273	1025	2716
274	1026	2707
275	1029	2701
276	1032	2693
277	1033	2684
278	1035	2676
279	1037	2667
280	1039	2658
281	1040	2650
282	1043	2642
283	1045	2635
284	1047	2626
285	1048	2618
286	1050	2609
287	1052	2601
288	1053	2592
289	1055	2584
290	1057	2576
291	1060	2570
292	1062	2562
293	1063	2554
294	1065	2546
295	1067	2538
296	1068	2530
297	1070	2522
298	1074	2519
299	1076	2511
300	1078	2503
301	1079	2495
302	1081	2487
303	1083	2480
304	1084	2471
305	1087	2466
306	1089	2459
307	1091	2452
308	1093	2444
309	1094	2436
310	1096	2429
311	1098	2422
312	1100	2415
313	1104	2412
314	1106	2406
315	1109	2402
316	1112	2397
317	1116	2395
318	1119	2390
319	1121	2384
320	1125	2381
321	1128	2376
322	1133	2376
